movieid;country;addition;time
1859092;Germany;(TV version);93
1859351;N;N;96
1859542;N;N;105
1859617;N;N;120
1859753;N;N;106
1859753;Germany;N;97
1860181;N;N;112
1860327;N;N;92
1860806;N;N;99
1861004;N;N;110
1861112;N;N;105
1861202;N;(uncut);102
1861202;N;(edited version);99
1861514;N;N;115
1862412;N;N;80
1864055;N;N;128
1864846;N;N;130
1866000;N;N;118
1866391;N;N;93
1866400;N;(cut);108
1866400;N;N;124
1866400;UK;N;106
1866400;USA;(TCM print);107
1866400;USA;(English version);94
1867752;N;N;86
1868310;N;N;105
1868312;N;N;90
1868452;N;N;97
1868890;N;N;104
1869010;N;N;100
1869092;N;N;104
1869304;N;N;92
1869461;N;N;102
1869771;N;N;96
1870038;N;N;104
1870132;N;N;106
1870151;N;N;95
1870221;N;N;88
1870751;USA;N;77
1870798;N;N;102
1871727;N;N;107
1871833;N;N;105
1871833;Portugal;N;88
1872091;N;N;91
1872587;N;N;94
1872662;Argentina;N;101
1872662;Finland;N;101
1872662;Germany;N;101
1872662;USA;N;105
1873263;N;N;142
1873263;Germany;(director's cut);162
1874279;N;N;131
1874284;N;N;124
1874295;N;N;131
1875013;N;N;180
1875764;N;N;108
1875962;N;N;95
1875962;Argentina;(Mar del Plata Film Festival);95
1876090;N;N;55
1876090;N;N;81
1876090;USA;N;130
1878227;N;N;93
1878537;N;N;97
1878537;USA;N;92
1878658;N;N;1
1878669;UK;N;88
1878669;USA;N;82
1879298;N;N;110
1879358;N;N;109
1879599;N;N;82
1879793;N;N;111
1879793;N;(extended version);124
1879793;Australia;N;96
1879793;Taiwan;N;141
1879793;USA;(R-rated version);104
1880202;USA;N;100
1880648;N;N;82
1880846;N;N;128
1881802;N;N;84
1881868;France;N;117
1881868;USA;N;123
1883153;N;N;120
1883527;N;(FMC Library Print);145
1883527;N;N;152
1883528;N;N;85
1883660;N;N;197
1883660;UK;(1999 re-release);192
1883660;UK;N;193
1883660;UK;(1992 re-release);200
1883995;N;N;125
1883995;Finland;(1975);131
1884087;N;N;91
1884286;N;N;130
1885039;N;N;132
1885177;France;(DVD version);136
1885177;Yugoslavia;(extended version);270
1885734;N;N;97
1886005;N;N;89
1886005;N;(2005 unrated);94
1886830;N;N;90
1886830;Canada;N;94
1886830;Netherlands;N;94
1887066;N;N;127
1887066;N;(extended cut);147
1888102;N;N;108
1888780;N;N;87
1888811;N;N;107
1888811;Argentina;N;110
1888811;Canada;(Ontario);90
1888823;N;N;105
1889009;N;N;93
1889253;N;N;77
1889491;N;N;92
1889579;N;N;107
1889621;N;N;112
1889788;N;N;91
1889850;N;(theatrical version) (2012);106
1889850;N;N;80
1889850;USA;N;74
1890357;N;N;110
1890437;N;N;95
1890515;N;(corrected release length);75
1890516;N;N;82
1890522;N;N;128
1890588;N;N;88
1890829;N;N;103
1891484;N;N;57
1891605;N;N;90
1891649;N;N;97
1891803;N;N;92
1892010;N;N;99
1892794;N;N;91
1892991;N;N;99
1893207;N;N;103
1893210;N;N;97
1893245;N;N;101
1893343;N;N;96
1893483;N;N;102
1893657;N;N;90
1894338;N;N;68
1894453;N;N;77
1894619;USA;N;129
1894619;USA;(roadshow version);144
1894619;West Germany;N;138
1894753;N;N;112
1895102;N;N;107
1895102;USA;(unrated version);113
1895159;N;N;64
1895286;N;N;137
1895286;N;(extended cut);177
1895286;N;(Extended Edition);314
1895286;USA;(special edition);190
1895298;N;N;100
1895298;N;(Redux version);93
1895425;N;N;88
1895463;N;N;96
1895463;France;N;96
1895463;Germany;N;96
1895463;Hong Kong;N;97
1896345;N;N;111
1896980;N;N;117
1897539;N;N;132
1897539;Argentina;N;128
1897539;Sweden;N;118
1897539;USA;N;128
1897778;N;N;115
1897778;USA;(extended version);120
1898323;N;N;83
1898372;N;N;123
1898372;Canada;(Ontario);121
1898372;USA;(TV version);160
1898449;N;N;96
1898539;N;N;115
1898779;N;N;95
1898814;N;N;95
1898834;N;N;80
1898834;N;(Hypercube restored version);89
1898971;N;N;91
1898971;UK;N;87
1899474;N;N;102
1899694;N;N;94
1899730;N;N;127
1899741;N;N;88
1899769;N;N;100
1899880;France;N;13
1900069;N;N;99
1900069;Australia;N;103
1900319;N;N;122
1900465;N;N;105
1901554;N;N;92
1903954;N;N;140
1904083;N;N;88
1904548;N;N;151
1904548;Argentina;N;147
1904704;N;N;100
1904704;Argentina;N;108
1906242;N;N;103
1906242;USA;N;99
1907821;N;N;81
1910848;N;N;103
1911817;N;N;124
1912439;N;N;86
1913354;N;N;121
1913354;Canada;(Ontario);94
1913703;N;N;90
1913703;USA;(special extended edition);107
1914108;France;N;89
1914108;Germany;N;88
1914108;USA;N;84
1914192;N;N;90
1915247;N;N;95
1915291;N;N;88
1915498;N;N;121
1915861;N;N;83
1915987;N;N;132
1915987;USA;(extended version);140
1916996;Canada;N;110
1916996;USA;(Encore-True Stories Library print);112
1917129;N;N;113
1918307;N;N;115
